m;b;a;n;k;1;.;j;p;g
;;;;;;;;;
0.1922643091947944;0.008989065130320892;0.0006800918059753851;5.6599946657891275e-05;0.006994124864957653;38.497413290657974;370.51270751793237;;;góra
;;;;;;;;;
0.16;0.0;0.0;0.0;0.0064;5.641895835477563;7.957747154594767;;;
;;;;;;;;;
0.16352055251664943;0.0007282787544198574;3.420329613094985e-05;6.902960312038574e-07;0.006502673085232611;7.225151993843567;13.050705333535419;;;
;;;;;;;;;
0.18717967116322926;0.008271760860608542;0.00015399878299399115;1.2090519065002046e-05;0.006691117109041523;8.593479713983122;18.46197339865986;;;
;;;;;;;;;
0.1682799088884964;0.0015970429750383108;0.00010472937055883175;2.8192356941152013e-06;0.006680271190120585;11.451797811161432;32.78591827693044;;;
;;;;;;;;;
0.2270897253290387;0.023845105591916223;0.00020176140518247309;2.1184910595883906e-05;0.006931159439525507;35.52154823248202;315.4450972081366;;;
;;;;;;;;;
0.18561458690064933;0.00821680620609994;1.6243406858176757e-05;3.992790828029336e-06;0.006558992166049689;9.23618154310838;21.326762374313976;;;dó³
;;;;;;;;;
0.22619776018313026;0.02275586060667813;0.0004690708556041031;4.1343711522768656e-05;0.0071023915262966916;9.373021315815206;21.963382146681557;;;
;;;;;;;;;
0.262144;0.044713639936;0.00039737264858727265;3.446385043046523e-05;0.006001459199999997;5.641895835477563;7.957747154594767;;;
m;b;a;n;k;2;.;j;p;g
0.2617275135424234;0.025662191124924467;0.0003037913562262868;0.00014228368190379582;0.010709775055043743;76.58860608860103;1466.4536456487238
0.23023932087520252;0.016571891450793245;0.0013512784412360152;3.5187465721185514e-05;0.009109563356570309;75.39903558562604;1421.2536418106254

0.17743764172335602;0.005556134018233143;0.0;0.0;0.006481995670528227;7.312732791431452;13.36901521971921
0.34997055992682147;0.060284758867189994;0.002430611326979972;0.0009390843402035285;0.01554865848707573;66.61261001793912;1109.3099533505106
0.16425462962962947;0.0007168287251371716;5.380669702320897e-05;1.2958778359657289e-06;0.006565688657407396;12.360774464742066;38.197186342054884
0.17994203095648922;0.006723435374802168;1.4439972916076115e-05;1.278521533269966e-06;0.006413924782485991;7.898654169668588;15.597184423005743
0.17048972114797442;0.0035416632095800573;1.545954642657989e-05;3.9533598986312303e-07;0.006381270451883504;10.403141895720198;27.05634032562221
0.16525072886297365;0.001001887104862768;8.722682731449459e-05;8.310596132336945e-07;0.006576479071220314;13.351162356249091;44.563384065730695
